Customer ID,Recency,Frequency,Monetary,Cluster,Segment
12346.0,326,12,77556.46,2,VIP Customers
12347.0,2,8,4921.53,2,VIP Customers
12348.0,75,5,2019.4,3,At-Risk Valuable Customers
12349.0,19,4,4428.69,1,New & Growing Customers
12350.0,310,1,334.4,0,Inactive Customers
12351.0,375,1,300.93,0,Inactive Customers
12352.0,36,10,2849.84,2,VIP Customers
12353.0,204,2,406.76,0,Inactive Customers
12354.0,232,1,1079.4,0,Inactive Customers
12355.0,214,2,947.61,3,At-Risk Valuable Customers
12356.0,23,6,6371.73,2,VIP Customers
12357.0,33,3,18287.66,2,VIP Customers
12358.0,2,5,3887.07,2,VIP Customers
12359.0,58,10,8873.39,2,VIP Customers
12360.0,52,8,4252.89,2,VIP Customers
12361.0,287,4,511.25,3,At-Risk Valuable Customers
12362.0,3,11,5356.23,2,VIP Customers
12363.0,110,2,552.0,0,Inactive Customers
12364.0,8,4,1313.1,1,New & Growing Customers
12365.0,291,2,641.38,0,Inactive Customers
12366.0,634,1,500.24,0,Inactive Customers
12367.0,4,1,168.9,1,New & Growing Customers
12368.0,628,1,917.7,0,Inactive Customers
12369.0,413,3,1791.15,3,At-Risk Valuable Customers
12370.0,51,7,4316.56,2,VIP Customers
12371.0,45,5,4067.38,3,At-Risk Valuable Customers
12372.0,72,3,1298.04,3,At-Risk Valuable Customers
12373.0,311,3,1127.65,3,At-Risk Valuable Customers
12374.0,25,4,2989.2200000000003,1,New & Growing Customers
12375.0,11,2,457.5,1,New & Growing Customers
12376.0,390,2,503.15,0,Inactive Customers
12377.0,315,4,3426.32,3,At-Risk Valuable Customers
12378.0,130,2,5416.32,3,At-Risk Valuable Customers
12379.0,82,4,1620.22,3,At-Risk Valuable Customers
12380.0,22,11,9676.3,2,VIP Customers
12381.0,5,5,1845.31,1,New & Growing Customers
12383.0,185,5,1850.56,3,At-Risk Valuable Customers
12384.0,29,2,585.27,1,New & Growing Customers
12385.0,379,1,1938.4,3,At-Risk Valuable Customers
12386.0,338,2,401.9,0,Inactive Customers
12387.0,415,1,143.94,0,Inactive Customers
12388.0,16,8,3901.11,2,VIP Customers
12389.0,403,3,1433.33,3,At-Risk Valuable Customers
12390.0,80,1,549.84,0,Inactive Customers
12391.0,22,6,2724.84,2,VIP Customers
12392.0,591,1,234.75000000000003,0,Inactive Customers
12393.0,72,6,2399.4500000000003,3,At-Risk Valuable Customers
12394.0,64,2,1272.48,1,New & Growing Customers
12395.0,19,15,4721.17,2,VIP Customers
12396.0,674,1,931.43,0,Inactive Customers
12397.0,36,2,2409.9,1,New & Growing Customers
12398.0,46,1,1635.66,1,New & Growing Customers
12399.0,119,7,1962.3,3,At-Risk Valuable Customers
12400.0,414,1,205.25,0,Inactive Customers
12401.0,303,1,84.3,0,Inactive Customers
12402.0,323,6,1256.9,3,At-Risk Valuable Customers
12403.0,50,2,1019.36,1,New & Growing Customers
12404.0,682,1,63.24,0,Inactive Customers
12405.0,149,1,1710.39,3,At-Risk Valuable Customers
12406.0,22,5,6390.36,2,VIP Customers
12407.0,50,5,1708.12,3,At-Risk Valuable Customers
12408.0,33,8,4340.77,2,VIP Customers
